Date,AMZN-Close/Last,AMZN-Volume,AMZN-Open,AMZN-High,AMZN-Low,AAL-Close/Last,AAL-Volume,AAL-Open,AAL-High,AAL-Low,MAR-Close/Last,MAR-Volume,MAR-Open,MAR-High,MAR-Low,NFLX-Close/Last,NFLX-Volume,NFLX-Open,NFLX-High,NFLX-Low
11/27/2020,3195.34,2392867,3211.26,3216.19,3190.05,14.98,66066370,15.12,15.56,14.95,128.35,1365789,128,130.74,127.2,491.36,2805762,486.58,493.25,481.845
11/25/2020,3185.07,3790403,3141.87,3198,3140.26,14.94,101052500,14.77,15.08,14.37,129.22,2086576,129.87,130.25,127.76,485,3598629,485.13,486.9,478.919
11/24/2020,3118.06,3602102,3100.5,3134.25,3086.258,14.82,156501000,14.32,14.97,14.08,130.91,5307604,126.29,131.35,125.3639,482.88,3557894,478.84,484.05,475.89
11/23/2020,3098.39,4708887,3116.699,3139.745,3065.46,13.56,100764000,12.75,13.58,12.69,123.09,2185388,120.95,123.42,120.57,476.62,5416571,490.46,491.15,475.84
11/20/2020,3099.4,3380138,3117.02,3132.89,3098.0456,12.53,58685530,12.8,12.91,12.46,119.28,5292167,120.6526,121.9094,119.21,488.24,4255924,485.22,494.76,481.57
11/19/2020,3117.02,3010270,3105.31,3125,3080.92,12.79,58809390,12.73,13.04,12.63,121.11,2034789,120.35,121.71,119.53,484.67,2254653,482,487.8,480.47
11/18/2020,3105.46,2916836,3134,3140,3105.1,12.74,99888520,12.91,13.36,12.73,120.34,2370148,122.26,124.22,120.22,481.79,3629237,481.95,488.61,477.7212
11/17/2020,3135.66,3444735,3183.545,3189.25,3135.26,12.7,61956500,12.48,12.81,12.23,122.78,2924367,123.63,123.66,120.36,480.63,3698082,480.12,487.51,478.8525
11/16/2020,3131.06,3808676,3093.2,3142.7,3072.685,12.79,104867800,12.87,12.96,12.41,123.76,4596254,125.7,125.7,121.6501,479.1,3953563,480,485.58,477.3
11/13/2020,3128.81,3762587,3122,3141.7227,3085.39,12.24,56775110,11.91,12.25,11.85,120,2806144,116.31,120.13,115.65,482.84,3006510,486.77,488.94,477.8
11/12/2020,3110.28,4371208,3159.95,3175.88,3086.05,11.74,75726780,11.97,12.23,11.65,115.34,3115329,114.6,116.31,111.87,486.77,5071155,491,496.52,480.4255
11/11/2020,3137.39,4366923,3061.78,3139.145,3050,12.04,81359580,12.4,12.46,11.93,116.39,3846817,117.54,118.2,115.07,490.76,5460532,483,491.68,478.26
11/10/2020,3035.02,6590956,3095.02,3114,3019.4828,12.38,127529300,12.85,13.02,12.34,118.48,4883897,117.2,119.8,115.92,480.24,8306142,470.95,484.6,463.41
11/09/2020,3143.74,7190406,3231.03,3289,3112.1057,13.2,231326200,14.33,14.41,12.75,118.3,14217330,123.05,131.9,113.6,470.5,10419680,485.54,495.85,467.26
11/06/2020,3311.37,4647330,3304.64,3322,3232,11.46,36703680,11.44,11.51,11.275,103.89,4167957,102,104.65,101.5,514.73,4236349,515,515.21,502.51
